razon_social,objeto_social,cif,forma_juridica,actividad,actividad_cnae,sector,estado_empresa,fecha_constitucion,fecha_ultimo_cambio,direccion,telefono,web,email,url
Aquassent Shower System Sociedad Limitada.,Objeto socialComercio al por mayor de grifería.,CIFB97306781,Forma jurídicaSociedad limitada,"venta de gafas de sol, gorras, accesorios...",Actividad CNAE4676 - Comercio al por mayor de otros productos semielaborados,SectorComercio,Estado de la empresaViva,Fecha de constitución21-4-2003,Fecha último cambio24-8-2025,"Calle 6 (poligono industrial picassent), picassent, 46220, valencia",961232873,,aquassent@aquassent.es,https://empresite.eleconomista.es/IMPORT-FIVE-MEDITERRANEO.html
Pamole Express Sociedad Limitada.,"Objeto socialTendrá por objeto las siguientes actividades determinadas con arreglo al real decreto 475/2007 de 13 de abril. como actividad principal, la siguiente. cnae. 52.29. actividades anexas al transporte. las anteriores actividades, en el caso de tener naturaleza profesional, se realizarán mediante la co",CIFB56147978,Forma jurídicaSociedad limitada unipersonal,ACTIVIDADES AUXILIARES Y COMPLEMENTARIAS TRANSPORTE,Actividad CNAE5229 - Otras actividades anexas al transporte,SectorTransportes,Estado de la empresaViva,Fecha de constitución17-7-2023,Fecha último cambio18-2-2024,"Calle 9 (l'omet), picassent, 46229, valencia",,,,https://empresite.eleconomista.es/PAMOLE-EXPRESS.html
Greenkonnect Sociedad Limitada.,Objeto socialComercio al por mayor de flores y plantas,CIFB56198344,Forma jurídicaSociedad limitada unipersonal,ActividadComercio al por mayor de flores y plantas,Actividad CNAE4622 - Comercio al por mayor de flores y plantas,SectorComercio,Estado de la empresaViva,Fecha de constitución21-7-2023,Fecha último cambio21-7-2025,"Avenida sud, 2 - 1, picassent, 46220, valencia",,,,https://empresite.eleconomista.es/GREENKONNECT.html
Vicmarco Sociedad Limitada.,"Objeto socialIntermediación entre clientes y servicios profesionales de odontología y laboratorio protésico dental, servicios de asesoramiento sanitario y prevención de enfermedades buco dentales. servicios de medicina estética y cirugía plástica",CIFB13803242,Forma jurídicaSociedad limitada unipersonal,Actividades odontológicas,Actividad CNAE8623 - Actividades odontológicas,SectorSanidad,Estado de la empresaViva,Fecha de constitución8-6-2023,Fecha último cambio17-8-2025,"Urbanizacion serra-mar, s/n - par 32, picassent, 46220, valencia",,,,https://empresite.eleconomista.es/VICMARCO.html
Fisconcarvi Sociedad Limitada,"Objeto socialLa adquisición, enajenación, administración, gestión y explotación y arrendamiento no financiero de toda clase de bienes inmuebles (rústicos y urbanos) y muebles y participaciones en sociedades de naturaleza mercantil, con excepción de los instrumentos financieros.",CIFB96594700,Forma jurídicaSociedad limitada,Actividades relacionadas,Actividad CNAE6810 - Compraventa de bienes inmobiliarios por cuenta propia,SectorConstrucción y actividades inmobiliarias,Estado de la empresaViva,Fecha de constitución3-2-1997,Fecha último cambio30-11-2025,"Calle nou, 23 - 1 1, picassent, 46220, valencia",231146220,,,https://empresite.eleconomista.es/FISCONCARVI.html
Puntdiet Sl,"Objeto socialVenta, distribucion y representacion de productos alimenticios, de dietetica y derivados",CIFB96547088,Forma jurídicaSociedad limitada,Actividades relacionadas,"Actividad CNAE4639 - Comercio al por mayor, no especializado, de productos alimenticios, bebidas y tabaco",SectorComercio,Estado de la empresaViva,Fecha de constitución10-12-1996,Fecha último cambio31-8-2025,"Plaza mercat de la miraculosa, 7 - bj dr, picassent, 46220, valencia",,,,https://empresite.eleconomista.es/PUNTDIET.html
Arte Ferca Sociedad Limitada.,"Objeto socialLa pintura artistica, comercializacion, y venta de dichas obras o pinturas.",CIFB97127021,Forma jurídicaSociedad limitada,Actividades relacionadas,Actividad CNAE3299 - Otras industrias manufactureras n.c.o.p.,SectorIndustria,Estado de la empresaIncumplimiento de la obligación de depósito de cuentas,Fecha de constitución23-1-2002,,"Urbanizacion lloma de la verge, picassent, 46220, valencia",961242007,,,https://empresite.eleconomista.es/ARTE-FERCA.html
Cambarxa Sl,"Objeto socialLa importacion y venta al por mayor de toda clase de articulos alimenticios y de cafe, mensajeria, paqueteria, serigrafia, fabricacion de prendas textiles, venta al por menor de correo de catalogos de productos diversos,",CIFB97388243,Forma jurídicaSociedad limitada,Actividades relacionadas,"Actividad CNAE4639 - Comercio al por mayor, no especializado, de productos alimenticios, bebidas y tabaco",SectorComercio,Estado de la empresaCierre de hoja registral,Fecha de constitución17-2-2004,,"Calle sant joan de ribera, 3, picassent, 46220, valencia",961222577,,,https://empresite.eleconomista.es/CAMBARXA.html
Color Inks Sociedad Limitada.,"Objeto socialLa comercializacion, importacion y exportacion de productos para artes graficas asi como su fabricacion.",CIFB96566732,Forma jurídicaSociedad limitada,"Actividad de los agentes del comercio al por mayor no especializado. Las actividades integrantes del objeto social podrán ser desarrolladas, total o parcialmente, de modo indirecto, mediante la titularidad de acciones o participaciones en sociedades con objeto idéntico o análogo",Actividad CNAE4690 - Comercio al por mayor no especializado,SectorComercio,Estado de la empresaCierre de hoja registral,Fecha de constitución15-10-1996,,"Calle torrent, 73 - 75, picassent, 46220, valencia",,,,https://empresite.eleconomista.es/COLOR-INKS.html
Hostalfood Sl,"Objeto socialLos servicios de restauracion, restaurante 1 tenedor y cerveceria",CIFB96996715,Forma jurídicaSociedad limitada,"1. Gestión y explotación de la actividad de restauración, gastronomía y cocina en restaurantes, cafeterías, Kioscos, heladerías. Su Código Nacional de Actividades Económicas (CNAE) es 5610. Otras Actividades: 2. Actividades de desarrollo en la promoción y la gestión de hotele",Actividad CNAE5610 - Restaurantes y puestos de comidas,SectorHostelería,Estado de la empresaCierre de hoja registral,Fecha de constitución4-7-2000,,"Calle sant joan, 22, picassent, 46220, valencia",966800814,,,https://empresite.eleconomista.es/HOSTALFOOD.html
Turiaplas Mobiliario Sl.,"Objeto socialLa explotacion en arrendamiento no financiero de toda clase de bienes inmuebles; la promocion, construccion, compraventa, rehabilitacion y restauracion de toda clase de inmuebles; y, en su caso, adoptando la figura de ag",CIFB97442750,Forma jurídicaSociedad limitada,Actividades relacionadas,Actividad CNAE3109 - Fabricación de otros muebles,SectorIndustria,Estado de la empresaCierre de hoja registral,Fecha de constitución13-5-2004,,"Poligono industrial, 6, picassent, 46220, valencia",,,,https://empresite.eleconomista.es/TURIAPLAS-MOBILIARIO.html
Forn Pastiseria L'abadia Sl,"Objeto socialFabricación y comercio menor de pan, pastelería y bollería",CIFB96506951,Forma jurídicaSociedad limitada,Actividades relacionadas,Actividad CNAE1071 - Fabricación de pan y de productos frescos de panadería y pastelería,SectorIndustria,Estado de la empresaViva,Fecha de constitución20-3-1996,Fecha último cambio24-8-2025,"Plaza l'abadia, 1, picassent, 46220, valencia",961231462,,info@pastisserialabadia.com,https://empresite.eleconomista.es/FORN-PASTISERIA-ABADIA.html
Promo Viroma 2004 Sl,"Objeto socialLa promocion, urbanizacion, construccion, rehabilitacion y reparacion por cuenta ajena o propia, de toda clase de obras, incluida la agrupacion, segregacion, division horizontal y obra nueva, de viviendas, edificios, con",CIFB97405674,Forma jurídicaSociedad limitada,"41.10 / Promoción inmobiliaria. Otras actividades: 55.20 / Alojamientos turísticos y otros alojamientos de corta estancia, 90.01 / Artes escénicas, 81.29 / Otras actividades de limpieza, 77.34 / Alquiler de medios de navegación, 41.21 / Construcción de edificios residenciales, 4",Actividad CNAE4110 - Promoción inmobiliaria,SectorConstrucción y actividades inmobiliarias,Estado de la empresaIlocalizable,Fecha de constitución4-3-2004,Fecha último cambio24-11-2024,"Plaza l'abadia, 13 - bj, picassent, 46220, valencia",,,,https://empresite.eleconomista.es/PROMO-VIROMA-2004.html
Refortorrent Sociedad Limitada.,"Objeto social1. la adquisición, enajenación, arrendamiento -excepto leasing inmobiliario- y explotación por cualquier título legal de toda clase de fincas rústicas o urbanas. 2. la urbanización, parcelación, derribo, rehabilitación, promoción y construcción, por cuenta propia o ajena, de todo tipo de terrenos",CIFB72823875,Forma jurídicaSociedad limitada,ActividadPromoción inmobiliaria,Actividad CNAE6810 - Compraventa de bienes inmobiliarios por cuenta propia,SectorConstrucción y actividades inmobiliarias,Estado de la empresaViva,Fecha de constitución3-1-2023,Fecha último cambio7-7-2024,"Calle calvari, 21 - 3 b, picassent, 46220, valencia",,,refortorrent@gmail.com,https://empresite.eleconomista.es/REFORTORRENT.html
Adonis Spa Sociedad Limitada.,"a) la actividad de peluquería y otros tratamientos de belleza. b) el comercio al por menor, no especializado, de productos alimenticios, bebidas y tabaco. c) el comercio al por menor de productos de perfumería y cosmética. d) las actividades propias de hostelería, bar.",CIFB72784143,Forma jurídicaSociedad limitada unipersonal,"ActividadSalones peluqueria,institut.belleza",Actividad CNAE9602 - Peluquería y otros tratamientos de belleza,SectorOtros servicios,Estado de la empresaViva,Fecha de constitución2-1-2023,Fecha último cambio17-8-2025,"Calle compositor alberto muñoz bobi, 6, picassent, 46220, valencia",,,,https://empresite.eleconomista.es/ADONIS-SPA.html
Ready To Vibe Sociedad Limitada.,"Objeto socialA) otras actividades de enseñanza, (iae 933.9; cnae 8559). b) técnicos en artes gráficas, diseño gráfico e impresión (iae 474.1; cnae 1812). c) agente comercial, intermediario de comercio (iae 631; cnae 4619). d) servicios de traducción y similares (iae 849.3; cnae 7430). e) programación, diseño pág",CIFB72889090,Forma jurídicaSociedad limitada,"CNAE 8559. La enseñanza y formación no reglada, tanto presencial, semipresencial, como a distancia u on-line, dirigida a personas físicas, jurídicas y entidades públicas. Si alguna de las actividades elegidas fuere de carácter profesional, la sociedad la ejercerá como mera inte",Actividad CNAE8559 - Otra educación n.c.o.p.,SectorEducación,Estado de la empresaViva,Fecha de constitución2-1-2023,Fecha último cambio17-8-2025,"Calle nou, 9 - 1 1, picassent, 46220, valencia",,,,https://empresite.eleconomista.es/READY-TO-VIBE.html
Clinicadentalermita Sociedad De Responsabilidad Limitada Profesional.,Objeto socialLa sociedad tiene por objeto exclusivo las actividades propias del estatuto profesional de odontólogo,CIFB72832967,Forma jurídicaSociedad limitada unipersonal,Actividades odontológicas,Actividad CNAE8623 - Actividades odontológicas,SectorSanidad,Estado de la empresaViva,Fecha de constitución2-2-2023,Fecha último cambio1-9-2024,"Calle l'ermita, 47 - bj d 2, picassent, 46220, valencia",,,,https://empresite.eleconomista.es/CLINICADENTALERMITA-PROFESIONAL.html
Drecera Material Educatiu Sociedad Limitada.,"a) el comercio al por menor de libros, principalmente de texto, lecturas de todo tipo, material escolar y de oficina, agendas, material personalizado, periódicos, artículos de papelería y escritorio y artículos de dibujo y bellas artes. cnae principal: 4761 y 4762. b).",CIFB44610756,Forma jurídicaSociedad limitada unipersonal,"ActividadComercio al por menor de libros, periódicos, artículos de papelería y escritorio y artículos de dibujo y bellas artes",Actividad CNAE4761 - Comercio al por menor de libros en establecimientos especializados,SectorComercio,Estado de la empresaViva,Fecha de constitución10-2-2023,Fecha último cambio17-8-2025,"Avenida aureli guaita i martorell, 18, picassent, 46220, valencia",,,,https://empresite.eleconomista.es/DRECERA-MATERIAL-EDUCATIU.html
Ganaderia M.a.minguez Sl.,"la explotación ganadera, incluida la cría y cuidado de reses bravas. la organización, asesoramiento, promoción y difusión de todo tipo de eventos taurinos. la representación de otras empresas y profesionales de espectáculos taurinos. la realización de cuale",CIFB44834471,Forma jurídicaSociedad limitada,ActividadExplotación De Ganado Bovino,Actividad CNAE0142 - Explotación de otro ganado bovino y búfalos,SectorAgricultura,Estado de la empresaViva,Fecha de constitución23-3-2023,Fecha último cambio21-12-2025,"Calle marques de dosaigues, 38 - 1 4, picassent, 46220, valencia",381446220,,,https://empresite.eleconomista.es/GANADERIA-MA-MINGUEZ.html
Sf Studio Consulting Sociedad Limitada.,"Objeto socialA) la sociedad tendrá como objeto social la promoción e intermediado (inmobiliaria, y la adquisición, rehabilitación, enajenación, construcción y arrendamiento no financiero de fincas urbanas, rústicas, terrenos y solares. y su urbanización y parcelación. el cnae correspondiente a la actividad princ.",CIFB72780240,Forma jurídicaSociedad limitada,ActividadServicios relativos a la propiedad inmobiliaria y a la propiedad industrial,Actividad CNAE6831 - Agentes de la propiedad inmobiliaria,SectorConstrucción y actividades inmobiliarias,Estado de la empresaViva,Fecha de constitución12-1-2023,Fecha último cambio12-10-2025,"Calle gomez ferrer, 31 - piso 6, picassent, 46220, valencia",,,,https://empresite.eleconomista.es/SONCINA-CRESCINI.html
Software Bipeek Sociedad Limitada.,"Objeto social1. la organización de congresos, eventos, ponencias o cursos mediante aplicaciones informáticas y plataformas online a cualesquiera entidades, sociedades mercanti-les, asociaciones, fundaciones y a los miembros pertenecientes a estas (se corresponde con el epígrafe ""otras actividades recreativas y",CIFB72860059,Forma jurídicaSociedad limitada,"ActividadServ.organ.congresos,asambleas y similares",Actividad CNAE8230 - Organización de convenciones y ferias de muestras,SectorServicios empresariales,Estado de la empresaViva,Fecha de constitución12-1-2023,Fecha último cambio31-8-2025,"Urbanizacion tancat de l'alter, 34 - 4 c, picassent, 46220, valencia",,,,https://empresite.eleconomista.es/SOFTWARE-BIPEEK.html
Cumastrike Sociedad Limitada.,"Objeto socialLa adquisición y tenencia de valores mobiliarios o participaciones sociales con la finalidad de dirigir dichas participaciones; y la prestación de servicios de carácter contable, fiscal, administrativo y de asesoramiento y apoyo a la gestión de las entidades participadas, por cuenta propia",CIFB72951080,Forma jurídicaSociedad limitada unipersonal,"ActividadServicios de compra-venta, contratación de valores mobiliarios.",Actividad CNAE6612 - Actividades de intermediación en operaciones con valores y otros activos,SectorIntermediación financiera,Estado de la empresaViva,Fecha de constitución13-2-2023,Fecha último cambio31-8-2025,"Calle doctor fleming, 6 - piso 2 5, picassent, 46220, valencia",,,,https://empresite.eleconomista.es/CUMASTRIKE.html
Mageser 2022 Sociedad Limitada.,"actividad principal: servicios integrales a edificios e instalaciones. cnae de la actividad principal. 8110. otras actividades: mantenimiento integral de edificios y locales comerciales, lo que incluye el mantenimiento y reparación de instalaciones eléctricas o de font",CIFB72964281,Forma jurídicaSociedad limitada unipersonal,ACTIVIDAD DE SERVICIOS EN GENERAL,Actividad CNAE8110 - Servicios integrales a edificios e instalaciones,SectorServicios empresariales,Estado de la empresaViva,Fecha de constitución24-1-2023,Fecha último cambio17-8-2025,"Calle mossen carbo, 14 - 6, picassent, 46220, valencia",,,,https://empresite.eleconomista.es/MAGESER-2022.html
Spartan95 Sociedad Limitada.,"Objeto socialComercio y almacén de todo tipo de productos textiles al por mayor y detalle, así como también su fabricación, incluyéndose su venta por catálogo y por internet, así como la producción, edición, difusión y venta de anuncios",CIFB72875925,Forma jurídicaSociedad limitada,"ActividadComercio al por menor de productos textiles, confección, calzado, pieles y artículos de cuero",Actividad CNAE4751 - Comercio al por menor de textiles en establecimientos especializados,SectorComercio,Estado de la empresaCierre de hoja registral,Fecha de constitución20-1-2023,Fecha último cambio8-12-2024,"Poligono industrial, 1, picassent, 46220, valencia",,,,https://empresite.eleconomista.es/SPARTAN95.html
,,,,,,,,,,,015100444012100001200019310067280101500000000011059130246500000000000000000000000000000001105913024650000000000000000000000002512700108112441030125525525511012915212552552551012915251111010000000000410050500000411025411025205416158210041615821007707701110000100180180125102525416158225999911112001235237235100124624624420012352372359001510612412552552554161537575411102525164425537575411025615161921416812144182121281281281212966004040282811132161670050060050011741761747001107109107900147474750012551518280010119140042484747472404248000000000000950114090022220047000081988000185100161676730301280009004007001107109107100006666700124410306403757681250350350000010251236150061524666151500128128128102410050050000410000001214470012800010251231255255255768,,,https://empresite.eleconomista.es/ANAVRYN.html
Lastinque Sl.,"Objeto social1. le prestación de servicios de gestión, administración y asesoramiento e todo tipo de sociedades, excluido el asesoramiento financiero, en concreto, quedan excluidas las actividades reguladas en la ley del mercado de valores. estas actividades se realizarán a través de los oportunos profesionales",CIFB44768547,Forma jurídicaSociedad limitada,"70.20. Otras actividades de consultoría de gestión empresarial. Otras actividades: 88.12. Actividades de servicios sociales sin alojamiento para personas con discapacidad, 46.47. Comercio al por mayor de muebles para el hogar, oficinas y establecimientos comerciales, alfombras y",Actividad CNAE7022 - Otras actividades de consultoría de gestión empresarial,SectorServicios empresariales,Estado de la empresaViva,Fecha de constitución18-4-2023,,"Calle matilde salvador, 2 - 15, picassent, 46220, valencia",,,,https://empresite.eleconomista.es/LASTINQUE.html
Giandie Import Export Valencia Sociedad Limitada.,"4614). intermediarios del comercio de muebles, artículos para el hogar y ferretería. (código de actividad económica, según",CIFB56298466,Forma jurídicaSociedad limitada unipersonal,"ActividadIntermediarios del comercio de maquinaria, equipo industrial,","Actividad CNAE4614 - Intermediarios del comercio de maquinaria, equipo industrial, embarcaciones y aeronaves",SectorComercio,Estado de la empresaViva,Fecha de constitución28-8-2023,Fecha último cambio8-9-2024,"Calle gomez ferrer, 34 - bj, picassent, 46220, valencia",,,,https://empresite.eleconomista.es/GIANDIE-IMPORT-EXPORT-VALENCIA.html
Plastic Green Reciclaje Sl.,"1. el lavado y el triturado, la manipulación, fabricación y reciclaje de todo tipo de plástico propio y de terceros. -con cnae número 2229-. 2. el comercio de compraventa de los mismos, de desperdicios textiles, papeleros y residuos sólidos y/o líquidos, su importación y expor",CIFB44875011,Forma jurídicaSociedad limitada,ActividadFabricación artículos acabados materias plásticas,Actividad CNAE2229 - Fabricación de otros productos de plástico,SectorIndustria,Estado de la empresaViva,Fecha de constitución30-3-2023,,"Calle 1 (poligono industrial picassent), picassent, 46220, valencia",,,,https://empresite.eleconomista.es/PLASTIC-GREEN-RECICLAJE.html
Smart Fruits & Vegetables Sl.,Objeto socialProcesado y conservación de frutas y hortalizas,CIFB56310451,Forma jurídicaSociedad limitada,ActividadFabricación conservas vegetales,Actividad CNAE1039 - Otro procesado y conservación de frutas y hortalizas,SectorIndustria,Estado de la empresaCierre de hoja registral,Fecha de constitución8-9-2023,Fecha último cambio15-12-2024,"Calle marques de dosaigues, 24 - 1 2, picassent, 46220, valencia",241246220,,,https://empresite.eleconomista.es/SMART-FRUITS-VEGETABLES.html
All Pcs Frio Sl.,"Objeto socialA) arrendamiento, salvo financiero, de toda clase de inmuebles, terrenos y edificaciones. b) depósito y almacenamiento de toda clase de mercancías ajenas, como servicio independiente, en almacenes frigoríficos, silos, depósitos para líquidos y otros almacenes para mercancías en general. c) la promoc",CIFB56515174,Forma jurídicaSociedad limitada unipersonal,ActividadAlquiler de bienes inmuebles,Actividad CNAE6820 - Alquiler de bienes inmobiliarios por cuenta propia,SectorConstrucción y actividades inmobiliarias,Estado de la empresaViva,Fecha de constitución26-10-2023,Fecha último cambio9-11-2025,"Calle 6 (poligono industrial picassent), 30, picassent, 46220, valencia",,,,https://empresite.eleconomista.es/ALL-PCS-FRIO.html
Sanguinelli Sociedad Limitada.,"5610. las actividades integrantes del objeto social podrán ser desarrolladas, total o parcialmente, directa o indirectamente, mediante la titularidad de acciones o participaciones en sociedades con objeto idéntico o análogo. s",CIFB44622991,Forma jurídicaSociedad limitada unipersonal,"1. Gestión y explotación de la actividad de restauración, gastronomía y cocina en restaurantes, cafeterías, Kioscos, heladerías. Su Código Nacional de Actividades Económicas (CNAE) es 5610. Otras Actividades: 2. Actividades de desarrollo en la promoción y la gestión de hotele",Actividad CNAE5610 - Restaurantes y puestos de comidas,SectorHostelería,Estado de la empresaViva,Fecha de constitución15-2-2023,Fecha último cambio31-8-2025,"Urbanizacion lloma de la verge, pol. 156, parc. 34, picassent, 46220, valencia",,,,https://empresite.eleconomista.es/SANGUINELLI.html
Exycon World Sociedad Limitada.,"actividad principal: 43.33 / revestimiento de suelos y paredes. otras actividades: 46.39 / comercio al por mayor, no espec",CIFB70793609,Forma jurídicaSociedad limitada,ActividadSolados y pavimentos de todas clase y en cualquier tipo de obras,Actividad CNAE4333 - Revestimiento de suelos y paredes,SectorConstrucción y actividades inmobiliarias,Estado de la empresaViva,Fecha de constitución5-3-2024,,"Calle baixada dels jutjats, 1 - d 5, picassent, 46220, valencia",,,,https://empresite.eleconomista.es/EXYCON-WORLD.html
Rotulos Miguel S.l.,"Objeto socialLa prestacion de servicios de pintura y rotulacion, y la compraventa y colocacion de rotulos",CIFB97635734,Forma jurídicaSociedad limitada,- Pintura y acristalamiento (CNAE 43.34). Actividades secundarias: Revestimiento de suelos y paredes (CNAE 43.33); Otro acabado de edificio (CNAE 43.35),Actividad CNAE4334 - Pintura y acristalamiento,SectorConstrucción y actividades inmobiliarias,Estado de la empresaViva,Fecha de constitución17-1-2006,Fecha último cambio15-9-2024,"Calle campet de tomas, 11 - bj dr, picassent, 46220, valencia",,,,https://empresite.eleconomista.es/ROTULOS-MIGUEL.html
Fictilem Group Sl.,"Objeto socialLa sociedad tendrá por objeto la fabricación, comercialización y venta de productos cerámicos. el cnae de la actividad principal es 2341. las actividades integrantes del objeto social se realizarán por medio de profesionales que ostenten la titulación requerida cuando así sea preciso",CIFB40605487,Forma jurídicaSociedad limitada,"ActividadFabricación de vajillas, artículos del hogar y objetos de adorno, de material cerámico",Actividad CNAE2341 - Fabricación de artículos cerámicos de uso doméstico y ornamental,SectorIndustria,Estado de la empresaCierre de hoja registral,Fecha de constitución27-12-2019,Fecha último cambio1-12-2024,"Calle jacint serra, 1, picassent, 46220, valencia",,,,https://empresite.eleconomista.es/FICTILEM-GROUP.html
Spain Enzymes Sl,"Objeto socialLa fabricación y venta de preparados enzimáticos y de productos químicos, y se identifica la actividad principal de la sociedad con relación al cnae 4675. y además la promoción inmobiliaria y de terrenos, arrendamiento de inmuebles por naturaleza por cuenta propia, y la intermediación en la compra,.",CIFB98039597,Forma jurídicaSociedad limitada,ActividadComercio al por mayor de productos químicos industriales,Actividad CNAE4675 - Comercio al por mayor de productos químicos,SectorComercio,Estado de la empresaViva,Fecha de constitución23-6-2008,Fecha último cambio10-8-2025,"Urbanizacion tancat de l'alter, 31 - par 12 illa, picassent, 46220, valencia",,,mcj@spainenzymes.es,https://empresite.eleconomista.es/SPAIN-ENZYMES.html
Ballart 2008 Sl,"Objeto socialLa sociedad tendra por objeto la ensenanza, practica, desarrollo y ejecucion de cualquier modalidad de danza, asi como la realizacion de eventos artisticos.",CIFB98054570,Forma jurídicaSociedad limitada,"CNAE 8559. La enseñanza y formación no reglada, tanto presencial, semipresencial, como a distancia u on-line, dirigida a personas físicas, jurídicas y entidades públicas. Si alguna de las actividades elegidas fuere de carácter profesional, la sociedad la ejercerá como mera inte",Actividad CNAE8559 - Otra educación n.c.o.p.,SectorEducación,Estado de la empresaInactiva según nuestras fuentes,Fecha de constitución6-8-2008,Fecha último cambio24-8-2025,"Calle sant joan, 50 - bj, picassent, 46220, valencia",,,ballart2008sl@gmail.com,https://empresite.eleconomista.es/BALLART-2008.html
R G B Picafret Sociedad Limitada,"Objeto socialLa reparacion y montaje de maquinaria industrial, de electrodomesticos y de aparatos electricos, instalacion de conducciones electricas y de gas, comercio al por mayor y menor de pequeno material electrico, maquinaria, d",CIFB97281760,Forma jurídicaSociedad limitada,Actividades relacionadas,"Actividad CNAE4663 - Comercio al por mayor de maquinaria para la minería, la construcción y la ingeniería civil",SectorComercio,Estado de la empresaCierre de hoja registral,Fecha de constitución26-3-2003,,"Avenida aureli guaita i martorell, 21, picassent, 46220, valencia",,,,https://empresite.eleconomista.es/RGB-PICAFRET.html
Viviendas Valencianas En Construccion Lopezval Sociedad Limitada. (en Liquidacion),"Objeto socialA. la adquisicion, enajenacion, gestion y arrendamiento no financiero de fincas rusticas o urbanas. b. la urbanizacion, parcelacion, construccion, rehabilitacion y promocion por cuenta propia o ajena de cualquier clase d",CIFB97759534,Forma jurídicaSociedad limitada,"41.10 / Promoción inmobiliaria. Otras actividades: 55.20 / Alojamientos turísticos y otros alojamientos de corta estancia, 90.01 / Artes escénicas, 81.29 / Otras actividades de limpieza, 77.34 / Alquiler de medios de navegación, 41.21 / Construcción de edificios residenciales, 4",Actividad CNAE4110 - Promoción inmobiliaria,SectorConstrucción y actividades inmobiliarias,Estado de la empresaDisolución,Fecha de constitución21-9-2006,,"Calle sor lluisa, 3 - 7, picassent, 46220, valencia",,,,https://empresite.eleconomista.es/VIVIENDAS-VALENCIANAS-CONSTRUCCION-LOPEZVAL.html
Trabajos Auxiliares De Construccion Serpico Sociedad Limitada.,"Objeto socialLa construccion y la rehabilitacion por cuenta propia o ajena de todo tipo de viviendas, locales, establecimientos fabriles, comerciales o de cualquier otro uso y la realizacion de toda clase de trabajos auxiliares y ane",CIFB98007040,Forma jurídicaSociedad limitada,Actividades relacionadas,Actividad CNAE4121 - Construcción de edificios residenciales,SectorConstrucción y actividades inmobiliarias,Estado de la empresaCierre de hoja registral,Fecha de constitución8-4-2008,,"Poligono industrial, 1 - par 10, picassent, 46220, valencia",,,,https://empresite.eleconomista.es/TRABAJOS-AUXILIARES-CONSTRUCCION-SERPICO.html
Cav Picassent Asesoria Sociedad Limitada.,"Objeto socialLa asesoría fiscal, laboral y contable. consultoría. asesor de la propiedad inmobiliaria. técnico en peritaciones y valoraciones inmobiliarias. asesores financieros. el cnae de la actividad principal es el 6920",CIFB98821051,Forma jurídicaSociedad limitada,"Actividades de contabilidad, teneduría de libros, auditoría y asesoría fiscal. CNAE 69.20. Otras actividades de consultoría de gestión empresarial. CNAE 70.20. Servicios de intermediación para actividades inmobiliarias. CNAE 68.31 Otras actividades inmobiliarias por cuenta de terceros. CNAE 68.32. A","Actividad CNAE6920 - Actividades de contabilidad, teneduría de libros, auditoría y asesoría fiscal",SectorServicios empresariales,Estado de la empresaViva,Fecha de constitución10-5-2016,Fecha último cambio21-9-2025,"Calle gomez ferrer, 31 - 3 4, picassent, 46220, valencia",961100147,,paqui@cavasesoria.com,https://empresite.eleconomista.es/CAV-PICASSENT-ASESORIA.html
Gonzalez Sanz Picassent Sociedad Limitada.,"la carpinteria metalica, fabricacion de muebles, importacion, exportacion y comercio mayor y menor de productos de madera, metalicos y materiales para la construccion, de articulosde regalo de maquinaria, de aparatos y material electrico, de productos tex.",CIFB98205115,Forma jurídicaSociedad limitada,Actividades relacionadas,Actividad CNAE2512 - Fabricación de carpintería metálica,SectorIndustria,Estado de la empresaCierre de hoja registral,Fecha de constitución5-4-2010,,"Calle doctor fleming, 11 - piso 1, picassent, 46220, valencia",,,,https://empresite.eleconomista.es/GONZALEZ-SANZ-PICASSENT.html
Jugasa 2009 Sl.,"Objeto socialLa explotacion de bares, restaurantes, servicios de catering y comidas para llevar.",CIFB98230253,Forma jurídicaSociedad limitada,ACTIVIDADES RELACIONADAS CON LA HOSTELERIA Y RESTAURACION Y COMERCIO AL POR MENOR,Actividad CNAE5630 - Establecimientos de bebidas,SectorHostelería,Estado de la empresaInactiva según nuestras fuentes,Fecha de constitución6-4-2010,Fecha último cambio13-7-2025,"Calle gomez ferrer, 30 - bj, picassent, 46220, valencia",,,,https://empresite.eleconomista.es/JUGASA-2009.html
Covasa Interiores Sociedad Limitada.,"1. la compra, venta, gestion, administracion y explotacion por cualquier titulo de fincas urbanas y rusticas, exceptuando el arrendamiento financiero. 2. la promocion, construccion, restauracion, conservacion, venta y explotacion de arrendamiento no financiero de b.",CIFB98234560,Forma jurídicaSociedad limitada,Actividades relacionadas,Actividad CNAE4121 - Construcción de edificios residenciales,SectorConstrucción y actividades inmobiliarias,Estado de la empresaCierre de hoja registral,Fecha de constitución7-4-2010,,"Calle jaume i, 4 - bj, picassent, 46220, valencia",,,,https://empresite.eleconomista.es/COVASA-INTERIORES.html
Estrems Y Abad Sl,Objeto socialFabricacion y venta de cortinas,CIFB98826852,Forma jurídicaSociedad limitada unipersonal,ActividadConfección otros artículos textiles,Actividad CNAE1396 - Fabricación de otros productos textiles de uso técnico e industrial,SectorIndustria,Estado de la empresaViva,Fecha de constitución1-6-2016,Fecha último cambio24-8-2025,"Calle 6 (poligono industrial picassent), parc. 17, picassent, 46220, valencia",961240988,,administracion@estremsyabad.es,https://empresite.eleconomista.es/ESTREMS-ABAD.html
