cnae;descripcion;puntuacion;motivo
1910;Coquerías;10;Las coquerías generan residuos peligrosos y contaminantes.
1920;Refino de petróleo;10;El refino de petróleo produce efluentes contaminantes muy peligrosos.
1920;Refino de petróleo;10;El refino de petróleo produce efluentes contaminantes muy peligrosos.
1920;Refino de petróleo;10;El refino de petróleo produce efluentes contaminantes muy peligrosos.
1920;Refino de petróleo;10;El refino de petróleo produce efluentes contaminantes muy peligrosos.
1920;Refino de petróleo;10;El refino de petróleo produce efluentes contaminantes muy peligrosos.
1920;Refino de petróleo;10;El refino de petróleo produce efluentes contaminantes muy peligrosos.
2011;Fabricación de gases industriales;10;Fabricación de gases industriales con riesgo de vertidos peligrosos.
2012;Fabricación de colorantes y pigmentos;10;Fabricación de colorantes y pigmentos implica el uso de químicos peligrosos.
2013;Fabricación de otros productos básicos de química inorgánica;10;Producción de productos de química inorgánica puede ser muy contaminante.
2013;Fabricación de otros productos básicos de química inorgánica;10;Producción de productos de química inorgánica puede ser muy contaminante.
2014;Fabricación de otros productos básicos de química orgánica;10;Producción de productos químicos orgánicos genera alto riesgo de vertidos.
2014;Fabricación de otros productos básicos de química orgánica;10;Producción de productos químicos orgánicos genera alto riesgo de vertidos.
2015;Fabricación de fertilizantes y compuestos nitrogenados;10;Fabricación de fertilizantes implica riesgos de contaminantes en efluentes.
2016;Fabricación de plásticos en formas primarias;10;Fabricación de plásticos presenta riesgo alto por residuos peligrosos.
2017;Fabricación de caucho sintético en formas primarias;10;Fabricación de caucho sintético puede generar vertidos peligrosos.
2020;Fabricación de pesticidas y otros productos agroquímicos;10;Producción de pesticidas conlleva un riesgo muy alto de contaminación.
2030;Fabricación de pinturas, barnices y revestimientos similares, tintas de imprenta y masillas;10;Fabricación de pinturas implica uso de solventes peligrosos.
2030;Fabricación de pinturas, barnices y revestimientos similares, tintas de imprenta y masillas;10;Fabricación de pinturas implica uso de solventes peligrosos.
2041;Fabricación de jabones, detergentes y otros artículos de limpieza y abrillantamiento;10;Fabricación de jabones y detergentes puede ser contaminante en efluentes.
2042;Fabricación de perfumes y cosméticos;10;Fabricación de perfumes y cosméticos puede implicar vertidos peligrosos.
2042;Fabricación de perfumes y cosméticos;10;Fabricación de perfumes y cosméticos puede implicar vertidos peligrosos.
2051;Fabricación de explosivos;10;Fabricación de explosivos presenta un riesgo muy alto debido a la naturaleza peligrosa de los productos.
2051;Fabricación de explosivos;10;Fabricación de explosivos presenta un riesgo muy alto debido a la naturaleza peligrosa de los productos.
2051;Fabricación de explosivos;10;Fabricación de explosivos presenta un riesgo muy alto debido a la naturaleza peligrosa de los productos.
2052;Fabricación de colas;10;Fabricación de colas puede generar productos químicos peligrosos, riesgo muy alto.
2053;Fabricación de aceites esenciales;10;Fabricación de aceites esenciales puede involucrar productos químicos riesgosos, riesgo muy alto.
2059;Fabricación de otros productos químicos n.c.o.p.;10;Fabricación de otros productos químicos n.c.o.p. representa un riesgo muy alto debido a la variabilidad de químicos.
2059;Fabricación de otros productos químicos n.c.o.p.;10;Fabricación de otros productos químicos n.c.o.p. representa un riesgo muy alto debido a la variabilidad de químicos.
2059;Fabricación de otros productos químicos n.c.o.p.;10;Fabricación de otros productos químicos n.c.o.p. representa un riesgo muy alto debido a la variabilidad de químicos.
2059;Fabricación de otros productos químicos n.c.o.p.;10;Fabricación de otros productos químicos n.c.o.p. representa un riesgo muy alto debido a la variabilidad de químicos.
2060;Fabricación de fibras artificiales y sintéticas;10;Fabricación de fibras artificiales y sintéticas tiene un alto riesgo de vertidos químicos.
2110;Fabricación de productos farmacéuticos de base;10;Fabricación de productos farmacéuticos de base implica el manejo de sustancias químicas peligrosas.
2120;Fabricación de especialidades farmacéuticas;10;Fabricación de especialidades farmacéuticas implica el manejo de sustancias químicas peligrosas.
2120;Fabricación de especialidades farmacéuticas;10;Fabricación de especialidades farmacéuticas implica el manejo de sustancias químicas peligrosas.
2211;Fabricación de neumáticos y cámaras de caucho, reconstrucción y recauchutado de neumáticos;10;Fabricación de neumáticos y cámaras de caucho genera residuos peligrosos, riesgo muy alto.
2211;Fabricación de neumáticos y cámaras de caucho, reconstrucción y recauchutado de neumáticos;10;Fabricación de neumáticos y cámaras de caucho genera residuos peligrosos, riesgo muy alto.
2219;Fabricación de otros productos de caucho;10;Fabricación de otros productos de caucho genera residuos peligrosos, riesgo muy alto.
2219;Fabricación de otros productos de caucho;10;Fabricación de otros productos de caucho genera residuos peligrosos, riesgo muy alto.
2219;Fabricación de otros productos de caucho;10;Fabricación de otros productos de caucho genera residuos peligrosos, riesgo muy alto.
2219;Fabricación de otros productos de caucho;10;Fabricación de otros productos de caucho genera residuos peligrosos, riesgo muy alto.
2221;Fabricación de placas, hojas, tubos y perfiles de plástico;10;Fabricación de placas, hojas, tubos y perfiles de plástico puede generar vertidos perjudiciales.
2222;Fabricación de envases y embalajes de plástico;10;Fabricación de envases y embalajes de plástico puede generar vertidos perjudiciales.
2223;Fabricación de productos de plástico para la construcción;10;Fabricación de productos de plástico para la construcción puede generar residuos peligrosos.
2223;Fabricación de productos de plástico para la construcción;10;Fabricación de productos de plástico para la construcción puede generar residuos peligrosos.
2229;Fabricación de otros productos de plástico;10;Fabricación de otros productos de plástico puede generar residuos peligrosos.
2229;Fabricación de otros productos de plástico;10;Fabricación de otros productos de plástico puede generar residuos peligrosos.
2229;Fabricación de otros productos de plástico;10;Fabricación de otros productos de plástico puede generar residuos peligrosos.
2229;Fabricación de otros productos de plástico;10;Fabricación de otros productos de plástico puede generar residuos peligrosos.
2311;Fabricación de vidrio plano;8;Fabricación de vidrio plano puede generar residuos que afectan el tratamiento de aguas.
2312;Manipulado y transformación de vidrio plano;8;Manipulado y transformación de vidrio plano puede generar residuos que afectan el tratamiento de aguas.
2313;Fabricación de vidrio hueco;8;Fabricación de vidrio hueco puede generar residuos que afectan el tratamiento de aguas.
2314;Fabricación de fibra de vidrio;8;La fabricación de fibra de vidrio implica procesos que pueden generar vertidos industriales.
2319;Fabricación y manipulado de otro vidrio, incluido el vidrio técnico;8;La producción y manipulación de vidrio técnico pueden generar residuos peligrosos.
2320;Fabricación de productos cerámicos refractarios;8;La fabricación de productos cerámicos refractarios puede implicar procesos contaminantes.
2331;Fabricación de azulejos y baldosas de cerámica;6;La fabricación de azulejos y baldosas genera residuos, pero es menos contaminante que otros procesos industriales.
2332;Fabricación de ladrillos, tejas y productos de tierras cocidas para la construcción;6;La fabricación de ladrillos y tejas tiene riesgo de vertidos, aunque es moderado.
2341;Fabricación de artículos cerámicos de uso doméstico y ornamental;4;La fabricación de artículos cerámicos de uso doméstico y ornamental puede generar algunos residuos pero es menos riesgoso.
2342;Fabricación de aparatos sanitarios cerámicos;4;La fabricación de aparatos sanitarios cerámicos tiene bajo riesgo de vertidos peligrosos.
2343;Fabricación de aisladores y piezas aislantes de material cerámico;4;La fabricación de aisladores cerámicos tiene riesgo bajo debido a su naturaleza.
2344;Fabricación de otros productos cerámicos de uso técnico;4;La fabricación de otros productos cerámicos de uso técnico puede implicar bajo riesgo de vertidos.
2349;Fabricación de otros productos cerámicos;4;La fabricación de otros productos cerámicos también presenta un riesgo menor de vertidos.
2351;Fabricación de cemento;8;La fabricación de cemento generalmente produce contaminantes industriales.
2352;Fabricación de cal y yeso;6;La fabricación de cal y yeso puede generar subproductos que tienen riesgos moderados.
2361;Fabricación de elementos de hormigón para la construcción;6;La fabricación de elementos de hormigón tiene potencial de vertido, pero es moderado.
2362;Fabricación de elementos de yeso para la construcción;6;Al igual que otros procesos para la construcción, el riesgo de vertidos es moderado.
2363;Fabricación de hormigón fresco;6;La fabricación de hormigón fresco puede conllevar residuos con cierto riesgo.
2364;Fabricación de mortero;6;La fabricación de mortero también tiene un riesgo moderado de vertidos.
2365;Fabricación de fibrocemento;6;La fabricación de fibrocemento presenta riesgos moderados en cuanto a residuos.
2369;Fabricación de otros productos de hormigón, yeso y cemento;6;Otros productos de hormigón, yeso y cemento tienen un riesgo similar de vertidos.
2370;Corte, tallado y acabado de la piedra;4;El corte y acabado de piedra tiene bajo riesgo de vertidos, aunque existe.
2391;Fabricación de productos abrasivos;8;La fabricación de productos abrasivos puede generar vertidos peligrosos.
2399;Fabricación de otros productos minerales no metálicos n.c.o.p.;6;Otros productos minerales no metálicos pueden conllevar residuos moderados.
2410;Fabricación de productos básicos de hierro, acero y ferroaleaciones;10;La fabricación de productos básicos de hierro, acero y ferroaleaciones implica riesgos muy altos de vertidos.
2420;Fabricación de tubos, tuberías, perfiles huecos y sus accesorios, de acero;10;La fabricación de tubos y accesorios de acero tiene alto riesgo de vertidos peligrosos.
2431;Estirado en frío;10;El estirado en frío conlleva un alto potencial de residuos industriales peligrosos.
2432;Laminación en frío;10;La laminación en frío presenta riesgos muy altos de vertidos.
2433;Producción de perfiles en frío por conformación con plegado;10;La producción de perfiles en frío tiene riesgos significativos de vertidos industriales.
2433;Producción de perfiles en frío por conformación con plegado;10;Producción de perfiles metálicos puede generar residuos peligrosos.
2434;Trefilado en frío;10;Trefilado en frío involucra procesos que pueden generar residuos peligrosos.
2441;Producción de metales preciosos;10;La producción de metales preciosos puede involucrar sustancias químicas peligrosas.
2442;Producción de aluminio;10;Producción de aluminio implica el uso de productos químicos dañinos.
2443;Producción de plomo, zinc y estaño;10;Producción de plomo, zinc y estaño presenta un alto riesgo de contaminación.
2444;Producción de cobre;10;Producción de cobre puede generar contaminantes tóxicos.
2445;Producción de otros metales no férreos;10;Producción de metales no férreos implica el manejo de sustancias químicas peligrosas.
2446;Procesamiento de combustibles nucleares;10;Procesamiento de combustibles nucleares presenta un riesgo muy alto de vertidos.
2451;Fundición de hierro;10;Fundición de hierro genera residuos peligrosos y contaminación.
2452;Fundición de acero;10;Fundición de acero también implica el manejo de residuos tóxicos.
2453;Fundición de metales ligeros;10;Fundición de metales ligeros puede generar desechos peligrosos.
2454;Fundición de otros metales no férreos;10;Fundición de otros metales no férreos presenta riesgos de contaminación.
2511;Fabricación de estructuras metálicas y sus componentes;8;Fabricación de estructuras metálicas puede generar residuos lo cual es un riesgo alto.
2512;Fabricación de carpintería metálica;8;Fabricación de carpintería metálica conlleva riesgo de residuos industriales.
2521;Fabricación de radiadores y calderas para calefacción central;8;Fabricación de radiadores y calderas puede generar contaminantes.
2529;Fabricación de otras cisternas, grandes depósitos y contenedores de metal;8;Manufactura de depósitos metálicos puede implicar el manejo de sustancias tóxicas.
2530;Fabricación de generadores de vapor, excepto calderas para calefacción central;8;Fabricación de generadores de vapor implica el uso de productos peligrosos.
2540;Fabricación de armas y municiones;10;Fabricación de armas y municiones genera un riesgo muy alto de residuos peligrosos.
2550;Forja, estampación y embutición de metales, metalurgia de polvos;10;Forja y estampación de metales conlleva un alto riesgo de vertidos industriales.
2561;Tratamiento y revestimiento de metales;10;Tratamiento y revestimiento de metales involucra productos químicos peligrosos.
2562;Ingeniería mecánica por cuenta de terceros;8;Ingeniería mecánica puede llevar a la generación de residuos industriales.
2571;Fabricación de artículos de cuchillería y cubertería;8;Fabricación de artículos de cuchillería y cubertería genera riesgo de desechos.
2572;Fabricación de cerraduras y herrajes;6;Fabricación de cerraduras y herrajes puede involucrar procesos de metalurgia y utilización de productos químicos.
2573;Fabricación de herramientas;6;Fabricación de herramientas puede implicar el uso de aceites y lubricantes, generando riesgo a vertidos.
2573;Fabricación de herramientas;6;Fabricación de herramientas puede implicar el uso de aceites y lubricantes, generando riesgo a vertidos.
2573;Fabricación de herramientas;6;Fabricación de herramientas puede implicar el uso de aceites y lubricantes, generando riesgo a vertidos.
2591;Fabricación de bidones y toneles de hierro o acero;6;Fabricación de bidones y toneles de hierro o acero puede generar residuos metálicos y químicos.
2592;Fabricación de envases y embalajes metálicos ligeros;6;Fabricación de envases y embalajes metálicos ligeros puede involucrar procesos que generen residuos químicos.
2593;Fabricación de productos de alambre, cadenas y muelles;6;Fabricación de productos de alambre, cadenas y muelles puede generar residuos metálicos y químicos.
2593;Fabricación de productos de alambre, cadenas y muelles;6;Fabricación de productos de alambre, cadenas y muelles puede generar residuos metálicos y químicos.
2594;Fabricación de pernos y productos de tornillería;6;Fabricación de pernos y productos de tornillería puede generar residuos metálicos y químicos.
2599;Fabricación de otros productos metálicos n.c.o.p.;6;Fabricación de otros productos metálicos n.c.o.p. puede generar residuos metálicos y químicos.
2599;Fabricación de otros productos metálicos n.c.o.p.;6;Fabricación de otros productos metálicos n.c.o.p. puede generar residuos metálicos y químicos.
2599;Fabricación de otros productos metálicos n.c.o.p.;6;Fabricación de otros productos metálicos n.c.o.p. puede generar residuos metálicos y químicos.
2599;Fabricación de otros productos metálicos n.c.o.p.;6;Fabricación de otros productos metálicos n.c.o.p. puede generar residuos metálicos y químicos.
2599;Fabricación de otros productos metálicos n.c.o.p.;6;Fabricación de otros productos metálicos n.c.o.p. puede generar residuos metálicos y químicos.
2611;Fabricación de componentes electrónicos;4;Fabricación de componentes electrónicos puede implicar el uso de sustancias químicas, pero el riesgo es moderado.
2611;Fabricación de componentes electrónicos;4;Fabricación de componentes electrónicos puede implicar el uso de sustancias químicas, pero el riesgo es moderado.
2611;Fabricación de componentes electrónicos;4;Fabricación de componentes electrónicos puede implicar el uso de sustancias químicas, pero el riesgo es moderado.
2611;Fabricación de componentes electrónicos;4;Fabricación de componentes electrónicos puede implicar el uso de sustancias químicas, pero el riesgo es moderado.
2611;Fabricación de componentes electrónicos;4;Fabricación de componentes electrónicos puede implicar el uso de sustancias químicas, pero el riesgo es moderado.
2612;Fabricación de circuitos impresos ensamblados;4;Fabricación de circuitos impresos ensamblados puede generar residuos que contienen sustancias químicas.
2620;Fabricación de ordenadores y equipos periféricos;4;Fabricación de ordenadores y equipos periféricos puede implicar el uso de químicos, pero el riesgo es moderado.
2630;Fabricación de equipos de telecomunicaciones;4;Fabricación de equipos de telecomunicaciones puede implicar el uso de sustancias químicas, pero el riesgo es moderado.
2630;Fabricación de equipos de telecomunicaciones;4;Fabricación de equipos de telecomunicaciones puede implicar el uso de sustancias químicas, pero el riesgo es moderado.
2630;Fabricación de equipos de telecomunicaciones;4;Fabricación de equipos de telecomunicaciones puede implicar el uso de sustancias químicas, pero el riesgo es moderado.
2630;Fabricación de equipos de telecomunicaciones;4;Fabricación de equipos de telecomunicaciones puede implicar el uso de sustancias químicas, pero el riesgo es moderado.
2640;Fabricación de productos electrónicos de consumo;4;Fabricación de productos electrónicos de consumo puede involucrar el uso de sustancias químicas, aunque el riesgo es moderado.
2640;Fabricación de productos electrónicos de consumo;4;Fabricación de productos electrónicos de consumo puede involucrar el uso de sustancias químicas, aunque el riesgo es moderado.
2651;Fabricación de instrumentos y aparatos de medida, verificación y navegación;4;Fabricación de instrumentos y aparatos de medida, verificación y navegación puede utilizar químicos, aunque el riesgo es moderado.
2651;Fabricación de instrumentos y aparatos de medida, verificación y navegación;4;Fabricación de instrumentos y aparatos de medida, verificación y navegación puede utilizar químicos, aunque el riesgo es moderado.
2652;Fabricación de relojes;4;Fabricación de relojes puede generar residuos tipo, aunque el riesgo es moderado.
2660;Fabricación de equipos de radiación, electromédicos y electroterapéuticos;8;Fabricación de equipos electromédicos puede implicar el uso de productos químicos.
2670;Fabricación de instrumentos de óptica y equipo fotográfico;6;Fabricación de instrumentos ópticos puede generar residuos, aunque el riesgo es moderado.
2670;Fabricación de instrumentos de óptica y equipo fotográfico;6;Fabricación de instrumentos ópticos puede generar residuos, aunque el riesgo es moderado.
2670;Fabricación de instrumentos de óptica y equipo fotográfico;6;Fabricación de instrumentos ópticos puede generar residuos, aunque el riesgo es moderado.
2680;Fabricación de soportes magnéticos y ópticos;6;Fabricación de soportes magnéticos puede involucrar sustancias químicas y residuos.
2711;Fabricación de motores, generadores y transformadores eléctricos;8;Fabricación de motores eléctricos puede generar vertidos de aceites y refrigerantes.
2712;Fabricación de aparatos de distribución y control eléctrico;8;Fabricación de aparatos de control eléctrico puede incluir sustancias peligrosas.
2720;Fabricación de pilas y acumuladores eléctricos;8;Fabricación de pilas y acumuladores eléctricos implica procesos químicos y riesgos.
2731;Fabricación de cables de fibra óptica;6;Fabricación de cables de fibra óptica tiene riesgo moderado de vertidos.
2731;Fabricación de cables de fibra óptica;6;Fabricación de cables de fibra óptica tiene riesgo moderado de vertidos.
2732;Fabricación de otros hilos y cables electrónicos y eléctricos;6;Fabricación de hilos y cables electrónicos implica riesgos moderados de residuos.
2733;Fabricación de dispositivos de cableado;6;Fabricación de dispositivos de cableado puede generar residuos con riesgo moderado.
2733;Fabricación de dispositivos de cableado;6;Fabricación de dispositivos de cableado puede generar residuos con riesgo moderado.
2733;Fabricación de dispositivos de cableado;6;Fabricación de dispositivos de cableado puede generar residuos con riesgo moderado.
2740;Fabricación de lámparas y aparatos eléctricos de iluminación;6;Fabricación de lámparas eléctricas puede implicar el uso de materiales con riesgo de residuos.
2740;Fabricación de lámparas y aparatos eléctricos de iluminación;6;Fabricación de lámparas eléctricas puede implicar el uso de materiales con riesgo de residuos.
2740;Fabricación de lámparas y aparatos eléctricos de iluminación;6;Fabricación de lámparas eléctricas puede implicar el uso de materiales con riesgo de residuos.
2751;Fabricación de electrodomésticos;6;Fabricación de electrodomésticos puede generar residuos y manejos químicos.
2752;Fabricación de aparatos domésticos no eléctricos;6;Fabricación de aparatos no eléctricos puede incluir riesgos moderados de vertidos.
2790;Fabricación de otro material y equipo eléctrico;8;Fabricación de material eléctrico puede implicar residuos y sustancias peligrosas.
2790;Fabricación de otro material y equipo eléctrico;8;Fabricación de material eléctrico puede implicar residuos y sustancias peligrosas.
2790;Fabricación de otro material y equipo eléctrico;8;Fabricación de material eléctrico puede implicar residuos y sustancias peligrosas.
2790;Fabricación de otro material y equipo eléctrico;8;Fabricación de material eléctrico puede implicar residuos y sustancias peligrosas.
2790;Fabricación de otro material y equipo eléctrico;8;Fabricación de material eléctrico puede implicar residuos y sustancias peligrosas.
2790;Fabricación de otro material y equipo eléctrico;8;Fabricación de material eléctrico puede implicar residuos y sustancias peligrosas.
2811;Fabricación de motores y turbinas, excepto los destinados a aeronaves, vehículos automóviles y ciclomotores;8;Fabricación de turbinas y motores puede generar residuos peligrosos y químicos.
2811;Fabricación de motores y turbinas, excepto los destinados a aeronaves, vehículos automóviles y ciclomotores;8;Fabricación de turbinas y motores puede generar residuos peligrosos y químicos.
2812;Fabricación de equipos de transmisión hidráulica y neumática;8;Fabricación de equipos de transmisión implica el uso de productos químicos.
2812;Fabricación de equipos de transmisión hidráulica y neumática;8;Fabricación de equipos de transmisión implica el uso de productos químicos.
2813;Fabricación de otras bombas y compresores;8;Fabricación de bombas y compresores puede conllevar el uso de sustancias peligrosas.
2813;Fabricación de otras bombas y compresores;8;Producción industrial de equipos que puede generar vertidos contaminantes.
2814;Fabricación de otra grifería y válvulas;8;Producción industrial de grifería y válvulas, implicando riesgos de vertidos.
2815;Fabricación de cojinetes, engranajes y órganos mecánicos de transmisión;8;Fabricación de elementos mecánicos que puede generar vertidos industriales.
2815;Fabricación de cojinetes, engranajes y órganos mecánicos de transmisión;8;Fabricación de elementos mecánicos que puede generar vertidos industriales.
2821;Fabricación de hornos y quemadores;8;Fabricación de hornos y quemadores, lo que puede generar residuos peligrosos.
2821;Fabricación de hornos y quemadores;8;Fabricación de hornos y quemadores, lo que puede generar residuos peligrosos.
2821;Fabricación de hornos y quemadores;8;Fabricación de hornos y quemadores, lo que puede generar residuos peligrosos.
2822;Fabricación de maquinaria de elevación y manipulación;8;Fabricación de maquinaria de elevación, puede implicar riesgos de vertidos.
2822;Fabricación de maquinaria de elevación y manipulación;8;Fabricación de maquinaria de elevación, puede implicar riesgos de vertidos.
2822;Fabricación de maquinaria de elevación y manipulación;8;Fabricación de maquinaria de elevación, puede implicar riesgos de vertidos.
2823;Fabricación de máquinas y equipos de oficina, excepto equipos informáticos;6;Producción de máquinas de oficina, menores riesgos de vertidos.
2823;Fabricación de máquinas y equipos de oficina, excepto equipos informáticos;6;Producción de máquinas de oficina, menores riesgos de vertidos.
2824;Fabricación de herramientas eléctricas manuales;6;Fabricación de herramientas eléctricas, con riesgo controlado de vertidos.
2825;Fabricación de maquinaria de ventilación y refrigeración no doméstica;6;Fabricación de maquinaria de ventilación, riesgo moderado de vertidos.
2825;Fabricación de maquinaria de ventilación y refrigeración no doméstica;6;Fabricación de maquinaria de ventilación, riesgo moderado de vertidos.
2829;Fabricación de otra maquinaria de uso general n.c.o.p.;8;Producción de maquinaria de uso general, con riesgo de vertidos.
2829;Fabricación de otra maquinaria de uso general n.c.o.p.;8;Producción de maquinaria de uso general, con riesgo de vertidos.
2829;Fabricación de otra maquinaria de uso general n.c.o.p.;8;Producción de maquinaria de uso general, con riesgo de vertidos.
2829;Fabricación de otra maquinaria de uso general n.c.o.p.;8;Producción de maquinaria de uso general, con riesgo de vertidos.
2829;Fabricación de otra maquinaria de uso general n.c.o.p.;8;Producción de maquinaria de uso general, con riesgo de vertidos.
2830;Fabricación de maquinaria agraria y forestal;6;Fabricación de maquinaria agraria, con riesgo moderado de vertidos.
2830;Fabricación de maquinaria agraria y forestal;6;Fabricación de maquinaria agraria, con riesgo moderado de vertidos.
2830;Fabricación de maquinaria agraria y forestal;6;Fabricación de maquinaria agraria, con riesgo moderado de vertidos.
2841;Fabricación de maquinas herramienta para trabajar el metal;8;Fabricación de máquinas herramienta para metal, riesgo alto de vertidos.
2849;Fabricación de otras máquinas herramienta;8;Fabricación de otras máquinas herramienta, riesgo alto de vertidos.
2849;Fabricación de otras máquinas herramienta;8;Fabricación de otras máquinas herramienta, riesgo alto de vertidos.
2849;Fabricación de otras máquinas herramienta;8;Fabricación de otras máquinas herramienta, riesgo alto de vertidos.
2891;Fabricación de maquinaria para la industria metalúrgica;8;Fabricación de maquinaria para la industria metalúrgica, riesgo alto de vertidos.
2892;Fabricación de maquinaria para las industrias extractivas y de la construcción;8;Fabricación de maquinaria para industrias extractivas, riesgo alto de vertidos.
2892;Fabricación de maquinaria para las industrias extractivas y de la construcción;8;Fabricación de maquinaria para industrias extractivas, riesgo alto de vertidos.
2893;Fabricación de maquinaria para la industria de la alimentación, bebidas y tabaco;6;Fabricación de maquinaria para la industria de la alimentación, bebidas y tabaco implica un riesgo medio debido a la manipulación de productos que pueden generar vertidos.
2894;Fabricación de maquinaria para las industrias textil, de la confección y del cuero;4;Fabricación de maquinaria para las industrias textil, de la confección y del cuero tiene un riesgo medio-bajo, ya que puede involucrar productos químicos menores.
2894;Fabricación de maquinaria para las industrias textil, de la confección y del cuero;4;Fabricación de maquinaria para las industrias textil, de la confección y del cuero tiene un riesgo medio-bajo, ya que puede involucrar productos químicos menores.
2894;Fabricación de maquinaria para las industrias textil, de la confección y del cuero;4;Fabricación de maquinaria para las industrias textil, de la confección y del cuero tiene un riesgo medio-bajo, ya que puede involucrar productos químicos menores.
2894;Fabricación de maquinaria para las industrias textil, de la confección y del cuero;4;Fabricación de maquinaria para las industrias textil, de la confección y del cuero tiene un riesgo medio-bajo, ya que puede involucrar productos químicos menores.
2895;Fabricación de maquinaria para la industria del papel y del cartón;6;Fabricación de maquinaria para la industria del papel y del cartón implica un riesgo medio debido a la posible manipulación de sustancias químicas.
2896;Fabricación de maquinaria para las industrias del plástico y del caucho;8;Fabricación de maquinaria para las industrias del plástico y del caucho tiene un riesgo alto por la utilización de materiales que pueden ser contaminantes.
2899;Fabricación de otra maquinaria para usos específicos n.c.o.p.;6;Fabricación de otra maquinaria para usos específicos puede tener un riesgo medio por la diversidad de aplicaciones y sustancias involucradas.
2899;Fabricación de otra maquinaria para usos específicos n.c.o.p.;6;Fabricación de otra maquinaria para usos específicos puede tener un riesgo medio por la diversidad de aplicaciones y sustancias involucradas.
2899;Fabricación de otra maquinaria para usos específicos n.c.o.p.;6;Fabricación de otra maquinaria para usos específicos puede tener un riesgo medio por la diversidad de aplicaciones y sustancias involucradas.
2899;Fabricación de otra maquinaria para usos específicos n.c.o.p.;6;Fabricación de otra maquinaria para usos específicos puede tener un riesgo medio por la diversidad de aplicaciones y sustancias involucradas.
2899;Fabricación de otra maquinaria para usos específicos n.c.o.p.;6;Fabricación de otra maquinaria para usos específicos puede tener un riesgo medio por la diversidad de aplicaciones y sustancias involucradas.
2899;Fabricación de otra maquinaria para usos específicos n.c.o.p.;6;Fabricación de otra maquinaria para usos específicos puede tener un riesgo medio por la diversidad de aplicaciones y sustancias involucradas.
2910;Fabricación de vehículos de motor;6;Fabricación de vehículos de motor tiene un riesgo medio debido a la manipulación de aceites y productos químicos.
2920;Fabricación de carrocerías para vehículos de motor, fabricación de remolques y semirremolques;6;Fabricación de carrocerías para vehículos de motor y remolques tiene un riesgo medio por los materiales y procesos utilizados.
2931;Fabricación de equipos eléctricos y electrónicos para vehículos de motor;6;Fabricación de equipos eléctricos y electrónicos para vehículos tiene un riesgo medio debido a la manipulación de químicos.
2932;Fabricación de otros componentes, piezas y accesorios para vehículos de motor;6;Fabricación de otros componentes, piezas y accesorios para vehículos tiene un riesgo medio por los materiales utilizados.
2932;Fabricación de otros componentes, piezas y accesorios para vehículos de motor;6;Fabricación de otros componentes, piezas y accesorios para vehículos tiene un riesgo medio por los materiales utilizados.
3011;Construcción de barcos y estructuras flotantes;8;Construcción de barcos y estructuras flotantes implica un riesgo alto por la utilización de productos químicos en los procesos.
3011;Construcción de barcos y estructuras flotantes;8;Construcción de barcos y estructuras flotantes implica un riesgo alto por la utilización de productos químicos en los procesos.
3012;Construcción de embarcaciones de recreo y deporte;8;Construcción de embarcaciones de recreo y deporte tiene un riesgo alto debido a la manipulación de materiales y productos químicos.
3020;Fabricación de locomotoras y material ferroviario;8;Fabricación de locomotoras y material ferroviario tiene un riesgo alto por los ajustes y productos químicos utilizados.
3020;Fabricación de locomotoras y material ferroviario;8;Fabricación de locomotoras y material ferroviario tiene un riesgo alto por los ajustes y productos químicos utilizados.
3020;Fabricación de locomotoras y material ferroviario;8;Fabricación de locomotoras y material ferroviario tiene un riesgo alto por los ajustes y productos químicos utilizados.
3030;Construcción aeronáutica y espacial y su maquinaria;8;Construcción aeronáutica y espacial y su maquinaria implica un riesgo alto por el uso de compuestos y productos químicos.
3030;Construcción aeronáutica y espacial y su maquinaria;8;Construcción aeronáutica y espacial y su maquinaria implica un riesgo alto por el uso de compuestos y productos químicos.
3030;Construcción aeronáutica y espacial y su maquinaria;8;Construcción aeronáutica y espacial y su maquinaria implica un riesgo alto por el uso de compuestos y productos químicos.
3040;Fabricación de vehículos militares de combate;10;Fabricación de vehículos militares de combate tiene un riesgo muy alto debido al uso de materiales peligrosos.
3091;Fabricación de motocicletas;6;Fabricación de motocicletas tiene un riesgo medio debido a la manipulación de aceites y productos químicos.
3091;Fabricación de motocicletas;6;Fabricación de motocicletas tiene un riesgo medio debido a la manipulación de aceites y productos químicos.
3092;Fabricación de bicicletas y de vehículos para personas con discapacidad;4;Riesgo medio-bajo debido a posibles residuos generados en la fabricación de bicicletas.
3092;Fabricación de bicicletas y de vehículos para personas con discapacidad;4;Riesgo medio-bajo debido a posibles residuos generados en la fabricación de bicicletas.
3092;Fabricación de bicicletas y de vehículos para personas con discapacidad;4;Riesgo medio-bajo debido a posibles residuos generados en la fabricación de bicicletas.
3099;Fabricación de otro material de transporte n.c.o.p.;4;Riesgo medio-bajo por la posibilidad de vertidos residuales de materiales diversos.
3101;Fabricación de muebles de oficina y de establecimientos comerciales;2;Riesgo bajo, principalmente por la manufactura de muebles sin uso de sustancias peligrosas.
3101;Fabricación de muebles de oficina y de establecimientos comerciales;2;Riesgo bajo, principalmente por la manufactura de muebles sin uso de sustancias peligrosas.
3101;Fabricación de muebles de oficina y de establecimientos comerciales;2;Riesgo bajo, principalmente por la manufactura de muebles sin uso de sustancias peligrosas.
